,Unnamed: 0,Content,Label
0,200,"U N [TS AND M EASU REM EN’I‘ EXERCISES Note : In stating numerical answers, take care of signiﬁcant ﬁgures. 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 Fill in the blanks [a] The volume of a cube of side 1 cm is equal to ..... m3 [b] The surface area of a solid cylinder of radius 2.0 cm and height 10.0 cm is equal to ...[mm]2 [c] A vehicle moving with a speed of 18 km h’1 covers....m in 1 s (d) The relative density of lead is 1 1.3. Its density is ....g cm’3 or ....kg mi3. Fill in the blanks by suitable conversion of units (a) 1 kg m2 5’2 = ....g cmzsr2 (b) 1 m = ..... 1y [0) 3.0 m s*2 = km h’2 [d] G = 6.67 x 10’11 N m2 [kg]’2 = [cm]3 s*2 g1. A calorie is a unit of heat [energy in transit) and it equals about 4.2 J where 1J = 1 kg m2 s”. Suppose we employ a system of units in which the unit of mass equals 05 kg, the unit of length equals [3 m, the unit of time is ys. Show that a calorie has a magnitude 4.2 (1’1 [3’2 Y2 in terms of the new units. Explain this statement clearly : “To call a dimensional quantity ‘large’ or ‘small’ is meaningless without specifying a standard for comparison”. In view of this, reframe the following statements wherever necessary : (a) atoms are very small objects [b] a jet plane moves with great speed [c] the mass of Jupiter is very large (d) the air inside this room contains a large number of molecules [e] a proton is much more massive than an electron [f] the speed of sound is much smaller than the speed of light. A new unit of length is chosen such that the speed of light in vacuum is unity. What is the distance between the Sun and the Earth in terms of the new unit if light takes 8 min and 20 s to cover this distance ? Which of the following is the most precise device for measuring length : (a) a vernier callipers with 20 divisions on the sliding scale (b) a screw gauge of pitch 1 mm and 100 divisions on the circular scale (c) an optical instrument that can measure length to within a wavelength of light ? A student measures the thickness of a human hair by looking at it through a microscope of magnification 100. He makes 20 observations and finds that the average width of the hair in the field of view of the microscope is 3.5 mm. What is the estimate on the thickness of hair ? Answer the following : [a)You are given a thread and a metre scale. How will you estimate the diameter of the thread ? [b)A screw gauge has a pitch of 1.0 mm and 200 divisions on the circular scale. Do you think it is possible to increase the accuracy of the screw gauge arbitrarily by increasing the number of divisions on the circular scale ? [c] The mean diameter of a thin brass rod is to be measured by vernier callipers. Why is a set of 100 measurements of the diameter expected to yield a more reliable estimate than a set of 5 measurements only ? The photograph of a house occupies an area of 1.75 cm2 on a 35 mm slide. The slide is projected on to a screen, and the area of the house on the screen is 1.55 m2. What is the linear magnification of the projector—screen arrangement. 2.10 State the number of significant figures in the following : (a) 0.007 m2 (b) 2.64 X 1024 kg [C] 0.2370 g cm’3 2019-20 35",0
1,93,"6 L0 c» v—t | c» [x ‘2 E m E E II.) F o: m E 394 l Physics Albert Einstein (1879 - 1955) Einstein, one of the greatest physicists of all time, was born in Ulm, Germany. In 1905, he published three path- breaking papers. In the first paper, he introduced the notion of light quanta (now called photons) and used it to explain the features of photoelectric effect. In the second paper, he developed a theory of Brownian motion, confirmed experimentally a few years later and provided a convincing evidence of the atomic picture of matter. The third paper gave birth to the special theory of relativity. In 1916, he published the general theory of relativity. Some of Einstein’s most significant later contributions are: the notion of stimulated emission introduced in an alternative derivation of Planck’s blackbody radiation law, static model of the universe which started modern cosmology, quantum statistics of a gas of massive bosons, and a critical analysis of the foundations of quantum mechanics. In 1921, he was awarded the Nobel Prize in physics for his contribution to theoretical physics and the photoelectric effect. has energy hv, where h is Planck’s constant and v the frequency of light. In photoelectric effect, an electron absorbs a quantum of energy (hv) of radiation. If this quantum of energy absorbed exceeds the minimum energy needed for the electron to escape from the metal surface (work function $0), the electron is emitted with maximum kinetic energy Kmax=hv—¢O (11.2) More tightly bound electrons will emerge with kinetic energies less than the maximum value. Note that the intensity of light of a given frequency is determined by the number of photons incident per second. Increasing the intensitywill increase the number of emitted electrons per second. However, the maximum kinetic energy of the emitted photoelectrons is determined by the energy of each photon. Equation (1 1.2) is known as Einstein’s photoelectric equation. We now see how this equation accounts in a simple and elegant manner all the observations on photoelectric effect given at the end of sub-section 1 1.4.3. 0 According to Eq. (1 1.2), Kmax depends linearly on v, and is independent of intensity of radiation, in agreement with observation. This has happened because in Einstein’s picture, photoelectric effect arises from the absorption of a single quantum of radiation by a single electron. The intensity of radiation (that is proportional to the number of energy quanta per unit area per unit time) is irrelevant to this basic process. 0 Since Kmax must be non-negative, Eq. (1 1.2 ) implies that photoelectric emission is possible only if h v > ()0 or v > v0 , where _ h ‘ h Equation (11.3) shows that the greater the work function ()0, the higher the minimum or threshold frequency v0 needed to emit photoelectrons. Thus, there exists a threshold frequency v0 (= 9150/ h) for the metal surface, below which no photoelectric emission is possible, no matter how intense the incident radiation may be or how long it falls on the surface. 0 In this picture, intensity of radiation as noted above, is proportional to the number of energy quanta per unit area per unit time. The greater the number of energy quanta available, the greater is the number of electrons absorbing the energy quanta and greater, therefore, is the number of electrons coming out of the metal (for v > v0). This explains why, for v > v0, photoelectric current is proportional to intensity. vO (11.3) 2019-20",0
2,1533,"86 Accountancy : Company Accounts and Analysis of Financial Statements Illustration 9 G.S. Rai company purchased assets of the book value of Rs. 99,000 from another firm. It was agreed that purchase consideration be paid by issuing 1 1% debentures of Rs. 100 each. Assume debentures have been issued. 1. At par 2. At discount of 10%, and 3. At a premium of 10%. Record necessary j ournal entries. Solution: Books of G.S. Rai Company Limited Journal Sundry Assets A/c To Vendors (Assets purchased from vendors) Vendors To 10% Debentures A/c (Allotment of debentures to vendors as purchase consideration) In IInd Vendors Dr. Case Discount on Issue of Debenture A/c Dr. To 10% Debentures A/c 1,10,000 (Allotment of 1,100 debenture of Rs 100 issued at discount of 10% to vendor) In IIIrd Vendors To 1 1% Debentures A/c To Securities Premium Reserve A/c (AlloUnent of 900 debentures of Rs 100 issued at a premium of 10% to the vendors) Sometimes a company may purchase the assets as well as takeover its liabilities of another concern. It happens usually in case of purchase of the whole business of the other concern. In such a situation, the purchase consideration will be equal to the value of net assets (Assets - Liabilities) taken over, and if the whole amount of the consideration is paid by issue of debentures, the journal entry will be:",3
3,1528,"Cash Flow Statement 281 Notes to Accounts: Particulars 31 st March 3 1 st March 201 7 (Rs) 201 6 (Rs) 1. Reserve and surplus i) Balance in statement of proﬁt and loss 1.200 1,000 ii) General reserve 2,500 2,000 3,700 3,000 2. Short-term borrowings — Bank overdraft 6,800 12,500 3. Short-term provisions i) Provision for taxation 4,200 3,000 ii) Proposed dividend 5,800 5,000 10.000 8.000 4. Fixed Assets: — Fixed Assets 40,000 41,000 Less Accumulated Depreciation I 15,000! 11 1,000! 25.000 30.000 Additional Information: Interest paid on Debenture Rs 600 [Ans.: Net Cash from Operating Activities Rs 2,100 Net Cash from Investing Activities Rs 1,000 Net Cash from Financing Activities Rs 4,900 Project Work 1. Read and analyse the cash ﬂow statements as given in the Annual Report of any three listed companies and ascertain: (i) which method (direct or indirect) is used for the purpose of calculating cash ﬂows from operating activities; (ii) the treatment of special items such as dividend tax, proﬁt/loss on sale of ﬁxed assets, depreciation extraordinary items, etc. (iii) Whether all companies follow the same proforma of cash ﬂow statement or different ones. (iv) As to whether you think that companies properly highlight cash ﬂow 2. statement in their Annual Reports. “Why companies must necessarily prepare and present a statement of cash ﬂows”. Discuss it in the classroom. Comment. 3. You analyse the cash ﬂow statement for the past 3 years for a company (i) (ii) chosen by you and ﬁnd out- Whether the net increase in cash and cash equivalents over the years is noticed. If net cash ﬂow from operating activities have been negative throughout, what may be the possible reasons for the situation. What would be the possible reasons for your perception about the functioning of the company?",3
4,1450,"LIFE ON THE EARTH change in the species distribution. This change is due to competition where the secondary forest species such as grasses, bamboos or pines overtakes the native species changing the original forest structure. This is called succession. Ecological balance may be disturbed due to the introduction of new species, natural hazards or human causes. Human interference has affected the balance of plant communities leading to disturbances in the ecosystems. Such disturbances bring about numerous secondary successions. Human pressure on the earth’s resources has put a heavy toll on 129 the ecosystem. This has destroyed its originality and has caused adverse effects to the general environment. Ecological imbalances have brought many natural calamities like ﬂoods, landslides, diseases, erratic climatic occurrences, etc. There is a very close relationship between the plant and animal communities within particular habitats. Diversity of life in a particular area can be employed as an indicator of the habitat factor. Proper knowledge and understanding of such factors provide a strong base for protecting and conserving the ecosystems. EXERCISES . 1. Multiple choice questions. (i) Which one of the following is included in biosphere? (a) only plants (b) all living and non-living organisms (c) only animals (d) all living organisms (ii) Tropical grasslands are also known as : (a) the prairies (b) the savannas (c) the steppes ((1) none of the above (iii) Oxygen combines with iron found in the rocks to form : (a) iron carbonate (b) iron nitrites (c) iron oxides (d) iron sulphate (iv) During photosynthesis, carbon dioxide combines with water in the presence of sunlight to form : (a) proteins (b) amino acids (c) carbohydrates (d) vitamins 2. Answer the following questions in about 30 words. (i) What do you understand by the term ‘ecology’? (ii) What is an ecological system? Identify the major types of ecosystems in the world. (iii) What is a food-chain? Give one example of a grazing food-chain identifying the various levels. (iv) What do you understand by the term ‘food web’? Give examples. (v) What is a biome? 2019-2020",2
5,1421,"A light year is a measure of distance and not of time. Light travels at a speed of 300.000 km/second. Considering this. the distances the light Will travel in one year is taken to be one light year. This equals to 9.46l><1012 km. The mean distance between the sun and the earth is 149,598,000 km. In terms of light years. it is 8.311minutes.",2
6,1514,"Recording of Transactions — II a. (iv) 1. Stock (Goods) Bills payable Rahul (Dr.) Himanshu (Dr.) Transactions during the month were: April 01 Goods sold to Manish 02 Purchased goods from Ramesh 03 Received cash from Rahul in full settlement 05 Cash received from Himanshu on account 06 paid to Remesh by cheque 08 Rent paid by cheque 10 Cash received from manish 12 Cash sales 14 Goods returned to Ramesh 15 Cash paid to Ramesh in full settlement Discount received 18 Goods sold to Kushal 20 Paid trade expenses 21 Drew for personal use 22 Goods return from Kushal 24 Cash received from Kushal 26 Paid for stationery 27 Postage charges 28 Salary Paid 29 Goods purchased from Sheetal Traders 30 Sold goods to Kirit Goods purchased from Handa Traders J ournlise the above transactions and post them to the ledger. Checklist to Test Your Understanding b. (ii) c. (iii) (a) subsidiary (e) cash, bank (i) overdraft (a) False (e) False (i) True Test Your Understanding — I f. (iv) g .(ii) h. (iii) i. (iii) (:1. (ii) e. (ii) Test Your Understanding — II (b) cash (1) more (j) imprest (b) True (1) True (j) True (0) purchases return (g) credit (k) credit (c) False (g) True (k) False 2019-2020 5,400 2,000 9,700 10,000 3,000 8,000 9,200 4,000 6,000. 1,200 3,000 6,000 1 ,000 3,700 300 10,000 200 1 ,000 1 ,200 6,000 100 2,500 7,000 6000 5,000 (d) journal proper (h) bank (d) False (h) False (1) False 159",3
7,1476,98 (ii) (iii) (iV) FUNDAMENTALS OF PHYSICAL GEOGRAPHY Which one of the following process is responsible for transforming liquid into vapour? (a) Condensation (c) Evaporation (b) Transpiration (d) Precipitation The air that contains moisture to its full capacity : (a) Relative humidity (c) Absolute humidity (b) Specific humidity (d) Saturated air Which one of the following is the highest cloud in the sky? (a) Cirrus (c) Nimbus (b) Stratus (d) Cumulus 2. Answer the following questions in about 30 words. (i) (ii) (iii) (iV) Name the three types of precipitation. Explain relative humidity. Why does the amount of water vapour decreases rapidly with altitude? How are clouds formed? Classify them. 3. Answer the following questions in about 150 words. (i) (ii) Discuss the salient features of the world distribution of precipitation. What are forms of condensation? Describe the process of dew and frost formation. Project Work Browse through the newspaper from 1st June to 31st December and note the news about extreme rainfall in different parts of the country. 2019-2020,2
8,937,"SEXUAL REPRODUCTION IN FLOWERING PLANTS Pollination by wind is more common amongst abiotic pollinations. Wind pollination also requires that the pollen grains are light and non-sticky so that they can be transported in wind currents. They often possess well-exposed stamens (so that the pollens are easily dispersed into wind currents, Figure 2.10) and large often-feathery stigma to easily trap air-borne pollen grains. Wind- pollinated ﬂowers often have a single ovule in each ovary and numerous ﬂowers packed into an inﬂorescence; a familiar example is the corn cob — the tassels you see are nothing but the stigma and style which wave in the wind to trap pollen grains. Wind-pollination is quite common in grasses. Pollination by water is quite rare in ﬂowering plants and is limited to about 30 genera, mostly monocotyledons. As against this, you would recall that water is a regular mode of transport for the male gametes among the lower plant groups such as algae, bryophytes and pteridophytes. It is believed, particularly for some bryophytes and Figure 2- 10 A wind-pollinated plant 3110‘”ng pteridophytes, that their distribution is limited compaCt inﬂorecence and well— exposed stamens because of the need for water for the transport of male gametes and fertilisation. Some examples of water pollinated plants are Vallisneria and Hydrilla which grow in fresh water and several marine sea-grasses such as Zostera. Not all aquatic plants use water for pollination. In a majority of aquatic plants such as water hyacinth and water lily, the ﬂowers emerge above the level of water and are pollinated by insects or wind as in most of the land plants. In Vallisneria, the female ﬂower reach the surface of water by the long stalk and the male ﬂowers or pollen grains are released on to the surface of water. They are carried passively by water currents (Figure 2.1 1a); some of them eventually reach the female ﬂowers and the stigma. In another group of water pollinated plants such as seagrasses, female ﬂowers remain submerged in water and the pollen grains are released inside the water. Pollen grains in many such species are long, ribbon like and they are carried passively inside the water; some of them reach the stigma and achieve pollination. In most of the water-pollinated species, pollen grains are protected from wetting by a mucilaginous covering. Both wind and water pollinated ﬂowers are not very colourful and do not produce nectar. What would be the reason for this? 2019-2020",1
9,49,"8.11 8.12 8.13 8.14 8.15 Electromagnetic Waves (a) What is the wavelength of the wave? (b) What is the amplitude of the oscillating magnetic field? (c) Show that the average energy density of the E field equals the average energy density of the B field. [c = 3 X 108 m s’1.] ADDITIONAL EXERCISES Suppose that the electric field part of an electromagnetic wave in vacuum is E = {(3.1 N/C) cos [(1.8 rad/m) y + (5.4 X 106 rad/SM}? (a) What is the direction of propagation? (b) What is the wavelength xi ? (c) What is the frequency v ? (d) What is the amplitude of the magnetic field part of the wave? (e) Write an expression for the magnetic field part of the wave. About 5% of the power of a 100 W light bulb is converted to visible radiation. What is the average intensity of visible radiation (a) at a distance of 1m from the bulb? (b) at a distance of 10 m? Assume that the radiation is emitted isotropically and neglect reﬂection. Use the formula lmT = 0.29 ch to obtain the characteristic temperature ranges for different parts of the electromagnetic spectrum. What do the numbers that you obtain tell you? Given below are some famous numbers associated with electromagnetic radiations in different contexts in physics. State the part of the electromagnetic spectrum to which each belongs. (a) 21 cm (wavelength emitted by atomic hydrogen in interstellar space). (b) 1057 MHZ (frequency of radiation arising from two close energy levels in hydrogen; known as Lamb shift). (c) 2.7 K [temperature associated with the isotropic radiation filling all space-thought to be a relic of the ‘big-bang’ origin of the universe]. (d) 5890 A - 5896 A [double lines of sodium] (e) 14.4 keV [energy of a particular transition in 57Fe nucleus associated with a famous high resolution spectroscopic method (Mossbauer spectroscopy)]. Answer the following questions: (a) Long distance radio broadcasts use short-wave bands. Why? (b) It is necessary to use satellites for long distance TV transmission. Why? (c) Optical and radiotelescopes are built on the ground but X-ray astronomy is possible only from satellites orbiting the earth. Why? (d) The small ozone layer on top of the stratosphere is crucial for human survival. Why? (e) If the earth did not have an atmosphere, would its average surface temperature be higher or lower than what it is now? (f) Some scientists have predicted that a global nuclear war on the earth would be followed by a severe ‘nuclear winter’ with a devastating effect on life on earth. What might be the basis of this prediction? 2019-20 287",0
